# file: statistics.dat size:50 shift:50 clmns:0 3 
102000.0000 8163.3337 7.0624 0.0329
302000.0000 8163.3388 7.0576 0.0194
502000.0000 8163.3259 7.2817 0.0133
702000.0000 8163.3832 7.3566 0.0143
902000.0000 8163.3309 7.4091 0.0153
1102000.0000 8163.4003 7.4053 0.0123
1302000.0000 8163.2316 7.3692 0.0163
1502000.0000 8163.3386 7.3860 0.0148
1702000.0000 8163.4132 7.3864 0.0143
1902000.0000 8163.6608 7.3835 0.0155
2102000.0000 8162.8482 7.4017 0.0115
2302000.0000 8163.0308 7.4065 0.0137
2502000.0000 8163.3863 7.3832 0.0108
2702000.0000 8163.5038 7.4021 0.0152
2902000.0000 8163.3833 7.3808 0.0136
3102000.0000 8163.0247 7.3678 0.0167
3302000.0000 8164.0723 7.3719 0.0155
3502000.0000 8162.4156 7.3800 0.0201
3702000.0000 8162.9871 7.3971 0.0149
3902000.0000 8164.1426 7.3720 0.0148
