# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 472.872 0.0187083 10.0871
8000 299.539 0.0187083 9.99007
12000 299.159 0.0187083 9.93441
16000 300.586 0.0187083 9.43097
20000 299.053 0.0187083 9.75646
24000 299.54 0.0187083 9.63788
28000 300.991 0.0187083 10.1913
32000 301.131 0.0187083 9.58198
36000 300.049 0.0187083 9.0915
40000 301.137 0.0187083 9.47505
44000 297.336 0.0187083 9.45326
48000 299.956 0.0187083 9.68602
52000 299.171 0.0187083 9.2704
56000 299.041 0.0187083 9.58346
60000 299.658 0.0187083 9.63001
64000 300.43 0.0187083 9.32023
68000 301.376 0.0187083 9.75011
72000 300.272 0.0187083 9.25975
76000 299.753 0.0187083 9.17602
80000 299.508 0.0187083 9.11431
84000 300.775 0.0187083 9.34009
88000 298.554 0.0187083 8.87903
92000 300.416 0.0187083 9.67209
96000 299.919 0.0187083 8.97715
100000 300.402 0.0187083 9.09317
104000 299.987 0.0187083 9.10328
108000 299.932 0.0187083 9.33194
112000 300.886 0.0187083 9.1204
116000 300.665 0.0187083 8.85292
120000 300.48 0.0187083 9.67143
124000 300.324 0.0187083 8.88852
128000 299.819 0.0187083 9.41249
132000 301.218 0.0187083 8.99456
136000 301.893 0.0187083 9.28306
140000 298.875 0.0187083 9.12403
144000 299.895 0.0187083 9.18763
148000 303.02 0.0187083 9.08861
152000 300.782 0.0187083 9.31187
156000 300.63 0.0187083 8.6715
160000 299.233 0.0187083 9.69547
164000 303.01 0.0187083 9.53204
168000 300.991 0.0187083 9.46216
172000 299.356 0.0187083 9.28456
176000 301.024 0.0187083 9.47062
180000 301.627 0.0187083 9.77815
184000 301.084 0.0187083 9.33237
188000 301.44 0.0187083 9.40576
192000 300.119 0.0187083 9.7679
196000 299.705 0.0187083 9.48943
200000 301.427 0.0187083 9.69841
204000 300.241 0.0187083 9.4941
208000 299.733 0.0187083 9.83547
212000 299.433 0.0187083 9.25645
216000 300.851 0.0187083 10.2914
220000 298.58 0.0187083 9.39269
224000 301.206 0.0187083 9.72501
228000 301.916 0.0187083 9.57817
232000 301.796 0.0187083 9.83597
236000 299.729 0.0187083 9.47056
240000 298.568 0.0187083 9.49096
244000 299.545 0.0187083 9.63979
248000 297.821 0.0187083 9.31732
252000 298.634 0.0187083 9.70457
256000 300.164 0.0187083 9.69474
260000 299.872 0.0187083 9.54855
264000 299.181 0.0187083 9.64898
268000 299.527 0.0187083 9.56591
272000 299.348 0.0187083 9.72311
276000 299.698 0.0187083 9.47729
280000 298.52 0.0187083 9.98974
284000 298.224 0.0187083 9.65109
288000 298.803 0.0187083 9.52594
292000 299.456 0.0187083 9.68283
296000 300.576 0.0187083 9.65666
300000 298.38 0.0187083 9.69483
304000 299.934 0.0187083 9.80894
308000 299.151 0.0187083 9.86176
312000 300.51 0.0187083 10.008
316000 299.555 0.0187083 9.86644
320000 300.967 0.0187083 9.83826
324000 299.387 0.0187083 9.82175
328000 299.417 0.0187083 9.70609
