# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 459.696 0.00541228 1.09284
8000 299.98 0.00541228 2.96558
12000 298.959 0.00541228 3.03933
16000 300.664 0.00541228 2.95755
20000 301.53 0.00541228 3.04195
24000 299.79 0.00541228 3.02437
28000 301.816 0.00541228 2.90893
32000 301.478 0.00541228 2.96668
36000 300.994 0.00541228 2.96809
40000 300.313 0.00541228 2.94362
44000 300.376 0.00541228 2.94166
48000 300.77 0.00541228 3.1159
52000 300.921 0.00541228 2.78492
56000 301.977 0.00541228 2.99798
60000 298.915 0.00541228 2.90937
64000 301.639 0.00541228 2.89168
68000 302.175 0.00541228 2.95156
72000 299.701 0.00541228 2.86934
76000 299.359 0.00541228 2.88513
80000 301.619 0.00541228 2.97877
84000 298.99 0.00541228 2.91213
88000 299.855 0.00541228 2.75367
92000 301.338 0.00541228 2.9561
96000 300.473 0.00541228 2.88943
100000 300.984 0.00541228 2.88172
104000 299.799 0.00541228 2.81442
108000 300.155 0.00541228 2.88708
112000 302.371 0.00541228 2.9116
116000 301.968 0.00541228 2.93329
120000 300.505 0.00541228 2.89135
124000 300.739 0.00541228 2.83301
128000 299.788 0.00541228 2.86431
132000 299.527 0.00541228 2.89028
136000 299.428 0.00541228 2.8472
140000 300.509 0.00541228 2.83918
144000 300.106 0.00541228 2.91035
148000 300.8 0.00541228 2.79899
152000 301.514 0.00541228 2.96988
156000 300.122 0.00541228 2.87624
160000 299.092 0.00541228 2.84686
164000 300.195 0.00541228 2.95381
168000 300.772 0.00541228 3.01578
172000 301.852 0.00541228 2.8899
176000 300.444 0.00541228 2.93517
180000 301.55 0.00541228 2.86769
184000 299.383 0.00541228 2.83681
188000 299.497 0.00541228 2.93315
192000 300.525 0.00541228 2.8626
196000 300.064 0.00541228 2.75572
200000 301.242 0.00541228 2.97349
204000 301.217 0.00541228 2.95227
208000 300.317 0.00541228 2.84321
212000 300.905 0.00541228 2.86858
216000 299.463 0.00541228 2.84822
220000 298.764 0.00541228 2.81945
224000 299.254 0.00541228 2.87325
228000 299.179 0.00541228 2.9697
232000 299.41 0.00541228 2.72756
236000 300.302 0.00541228 3.03498
240000 299.488 0.00541228 2.80221
244000 300.641 0.00541228 2.84001
248000 300.729 0.00541228 2.91416
252000 299.725 0.00541228 2.93762
256000 301.487 0.00541228 2.86083
260000 302.992 0.00541228 2.90317
264000 300.261 0.00541228 2.91175
268000 300.852 0.00541228 2.94343
272000 300.583 0.00541228 2.80563
276000 300.255 0.00541228 2.92687
280000 301.997 0.00541228 2.84901
284000 300.371 0.00541228 2.91223
288000 301.725 0.00541228 2.88973
292000 300.554 0.00541228 2.88132
296000 300.872 0.00541228 2.8419
300000 299.595 0.00541228 2.88013
304000 299.169 0.00541228 2.90798
308000 299.48 0.00541228 2.8604
312000 301.609 0.00541228 2.93822
316000 298.774 0.00541228 2.82277
320000 301.779 0.00541228 2.86824
324000 301.466 0.00541228 2.997
328000 300.184 0.00541228 2.88146
332000 297.635 0.00541228 2.84303
336000 300.351 0.00541228 2.89699
340000 302.506 0.00541228 2.89142
344000 300.198 0.00541228 2.87589
348000 299.941 0.00541228 2.824
352000 301.962 0.00541228 2.84322
356000 301.144 0.00541228 2.87627
360000 300.276 0.00541228 2.85306
364000 301.756 0.00541228 2.95337
368000 301.663 0.00541228 2.84468
372000 299.604 0.00541228 2.88335
376000 299.36 0.00541228 2.85119
380000 298.838 0.00541228 2.81716
384000 301.844 0.00541228 2.95058
388000 301.693 0.00541228 2.88777
392000 300.211 0.00541228 2.86611
396000 300.652 0.00541228 2.90355
400000 301.419 0.00541228 2.88884
404000 300.621 0.00541228 2.76575
408000 298.328 0.00541228 2.85429
412000 300.804 0.00541228 2.94575
416000 301.112 0.00541228 2.8775
420000 300.995 0.00541228 2.88885
424000 300.647 0.00541228 2.89954
428000 300.443 0.00541228 2.84832
432000 300.317 0.00541228 2.86282
436000 300.011 0.00541228 2.88261
440000 299.288 0.00541228 2.86502
444000 301.089 0.00541228 2.86346
448000 300.977 0.00541228 2.84267
452000 298.368 0.00541228 2.94352
456000 298.414 0.00541228 2.86869
460000 299.781 0.00541228 2.91747
464000 300.985 0.00541228 2.84138
468000 299.56 0.00541228 2.88602
472000 301.321 0.00541228 2.93333
476000 300.121 0.00541228 2.86609
480000 298.869 0.00541228 2.90294
484000 299.515 0.00541228 2.85008
488000 300.309 0.00541228 2.87648
492000 300.601 0.00541228 2.89245
496000 301.743 0.00541228 2.82693
500000 298.924 0.00541228 2.84259
504000 301.763 0.00541228 2.88257
508000 297.812 0.00541228 2.93489
512000 299.787 0.00541228 2.88209
516000 300.029 0.00541228 2.83932
520000 298.649 0.00541228 2.68773
524000 298.878 0.00541228 2.91526
528000 301.075 0.00541228 2.88414
532000 301.552 0.00541228 2.93245
536000 299.622 0.00541228 2.798
540000 300.974 0.00541228 2.978
544000 299.306 0.00541228 2.8291
548000 301.964 0.00541228 2.85283
552000 299.96 0.00541228 2.9079
556000 302.031 0.00541228 2.92065
560000 299.854 0.00541228 2.90576
564000 300.39 0.00541228 2.88601
568000 299.524 0.00541228 2.89969
572000 299.981 0.00541228 2.91856
576000 299.195 0.00541228 2.91524
580000 298.894 0.00541228 2.87624
584000 299.89 0.00541228 2.89724
588000 301.786 0.00541228 2.85612
