# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 559.568 0.00909021 3.31213
8000 302.216 0.00909021 5.08385
12000 300.176 0.00909021 5.00691
16000 298.235 0.00909021 4.97553
20000 301.326 0.00909021 4.95045
24000 301.237 0.00909021 4.70504
28000 302.551 0.00909021 4.99687
32000 300.888 0.00909021 4.98433
36000 300.713 0.00909021 4.72296
40000 300.496 0.00909021 4.91926
44000 301.338 0.00909021 4.92581
48000 301.477 0.00909021 4.89767
52000 298.941 0.00909021 4.80424
56000 298.386 0.00909021 4.8402
60000 300.988 0.00909021 4.93886
64000 300.863 0.00909021 4.66982
68000 299.231 0.00909021 5.18415
72000 301.392 0.00909021 4.75081
76000 300.128 0.00909021 4.91729
80000 298.104 0.00909021 4.75253
84000 301.886 0.00909021 4.85606
88000 299.997 0.00909021 4.64344
92000 301.594 0.00909021 4.63101
96000 298.783 0.00909021 5.02515
100000 298.229 0.00909021 4.52955
104000 299.497 0.00909021 4.77627
108000 301.611 0.00909021 4.86856
112000 299.685 0.00909021 4.87774
116000 299.067 0.00909021 4.55817
120000 300.461 0.00909021 4.73366
124000 298.779 0.00909021 4.58389
128000 300.576 0.00909021 4.98713
132000 299.799 0.00909021 4.67264
136000 300.433 0.00909021 4.72251
140000 300.825 0.00909021 4.6784
144000 300.241 0.00909021 4.62123
148000 299.905 0.00909021 4.59568
152000 300.138 0.00909021 4.86429
156000 300.663 0.00909021 4.6637
160000 301.186 0.00909021 4.94657
164000 300.323 0.00909021 4.72668
168000 299.877 0.00909021 4.34847
172000 301.536 0.00909021 4.72062
176000 302.193 0.00909021 4.74632
180000 301.303 0.00909021 4.69717
184000 301.251 0.00909021 4.68972
188000 298.802 0.00909021 4.6512
192000 300.639 0.00909021 4.62684
196000 300.975 0.00909021 4.86215
200000 300.035 0.00909021 4.71951
204000 301.075 0.00909021 4.72116
208000 300.91 0.00909021 4.83813
212000 298.844 0.00909021 4.50907
216000 300.561 0.00909021 4.78526
220000 300.996 0.00909021 4.68665
224000 301.72 0.00909021 4.65227
228000 301.308 0.00909021 4.66718
232000 301.163 0.00909021 4.67908
236000 301.938 0.00909021 4.70742
240000 300.992 0.00909021 4.73356
244000 300.565 0.00909021 4.61523
248000 300.948 0.00909021 4.67467
252000 299.526 0.00909021 4.54705
256000 299.532 0.00909021 4.64117
260000 301.722 0.00909021 4.76157
264000 300.391 0.00909021 4.7491
268000 300.832 0.00909021 4.57695
272000 301.607 0.00909021 4.7126
276000 300.303 0.00909021 4.85358
280000 299.807 0.00909021 4.6403
284000 300.821 0.00909021 4.69323
288000 298.612 0.00909021 4.61618
292000 300.646 0.00909021 4.74664
296000 302.092 0.00909021 4.77572
300000 300.033 0.00909021 4.78797
304000 302.183 0.00909021 4.66533
308000 299.585 0.00909021 4.65823
312000 301.141 0.00909021 4.70501
316000 298.898 0.00909021 4.66788
320000 299.96 0.00909021 4.63025
324000 299.658 0.00909021 4.73777
328000 300.994 0.00909021 4.63104
332000 299.979 0.00909021 4.70322
336000 298.377 0.00909021 4.52348
340000 302.84 0.00909021 4.73266
344000 299.153 0.00909021 4.70486
348000 299.054 0.00909021 4.84187
352000 299.877 0.00909021 4.80701
356000 300.326 0.00909021 4.65656
360000 301.448 0.00909021 4.59092
364000 298.648 0.00909021 4.63337
368000 299.852 0.00909021 4.78372
372000 299.245 0.00909021 4.71957
376000 299.967 0.00909021 4.74638
380000 301.504 0.00909021 4.71405
384000 300.148 0.00909021 4.7932
388000 300.464 0.00909021 4.80902
392000 300.85 0.00909021 4.79315
396000 299.715 0.00909021 4.89017
400000 298.382 0.00909021 4.57754
404000 300.76 0.00909021 4.78798
408000 299.771 0.00909021 4.6816
412000 301.543 0.00909021 4.74074
416000 300.102 0.00909021 4.78422
420000 300.485 0.00909021 4.78664
424000 301.262 0.00909021 4.7574
428000 298.48 0.00909021 4.72237
432000 301.82 0.00909021 4.86546
436000 301.472 0.00909021 4.75866
440000 298.385 0.00909021 4.79275
444000 301.288 0.00909021 4.72034
448000 300.558 0.00909021 4.78584
452000 300.982 0.00909021 4.72236
456000 301.015 0.00909021 4.78343
460000 300.098 0.00909021 4.66948
464000 300.503 0.00909021 4.76838
468000 300.21 0.00909021 4.69154
472000 299.725 0.00909021 4.97104
476000 299.306 0.00909021 4.63201
480000 298.448 0.00909021 4.83007
484000 300.001 0.00909021 4.78845
488000 299.338 0.00909021 4.78782
492000 301.666 0.00909021 4.94749
496000 299.958 0.00909021 4.83215
500000 300.546 0.00909021 4.76973
504000 302.929 0.00909021 4.86516
508000 300.477 0.00909021 4.89757
512000 299.245 0.00909021 4.77213
516000 302.448 0.00909021 4.97003
520000 300.472 0.00909021 4.79445
524000 300.789 0.00909021 4.96082
528000 300.366 0.00909021 4.9265
532000 301.323 0.00909021 4.79295
536000 299.991 0.00909021 4.86601
540000 301.197 0.00909021 4.84034
544000 301.136 0.00909021 4.85049
548000 300.143 0.00909021 4.92637
552000 300.452 0.00909021 4.89998
556000 299.396 0.00909021 4.90622
560000 299.663 0.00909021 4.74087
564000 300.838 0.00909021 4.93442
568000 300.193 0.00909021 4.98598
572000 300.4 0.00909021 4.87856
576000 299.64 0.00909021 4.83918
580000 299.809 0.00909021 4.88875
584000 300.079 0.00909021 4.93621
588000 299.266 0.00909021 4.77722
592000 300.54 0.00909021 5.0547
596000 302.069 0.00909021 4.8021
600000 299.427 0.00909021 4.88697
604000 298.776 0.00909021 4.82811
608000 301.111 0.00909021 4.89142
612000 299.735 0.00909021 4.81471
616000 301.006 0.00909021 4.93651
620000 301.376 0.00909021 4.89903
624000 301.185 0.00909021 4.91517
628000 300.26 0.00909021 4.79063
632000 301.78 0.00909021 4.93802
636000 300.469 0.00909021 4.87208
640000 299.307 0.00909021 4.75255
644000 302.903 0.00909021 4.90675
648000 300.588 0.00909021 4.86432
652000 299.377 0.00909021 4.89252
656000 300.615 0.00909021 5.02784
660000 300.577 0.00909021 4.87086
664000 299.936 0.00909021 4.95819
668000 298.089 0.00909021 4.90055
672000 299.945 0.00909021 4.93547
676000 300.796 0.00909021 4.86556
680000 299.798 0.00909021 4.83704
684000 300.641 0.00909021 4.91135
688000 300.664 0.00909021 4.87454
692000 300.004 0.00909021 4.94614
696000 300.481 0.00909021 4.98461
700000 300.945 0.00909021 5.03554
704000 298.441 0.00909021 4.90919
708000 302.324 0.00909021 4.99846
712000 301.028 0.00909021 4.95465
716000 298.266 0.00909021 4.98179
720000 299.424 0.00909021 4.87851
724000 299.367 0.00909021 4.9457
728000 300.796 0.00909021 4.93932
732000 301.332 0.00909021 5.059
736000 300.252 0.00909021 4.88096
740000 299.681 0.00909021 5.0423
744000 299.57 0.00909021 4.86502
748000 299.298 0.00909021 4.88653
752000 300.734 0.00909021 4.9667
756000 300.607 0.00909021 4.96385
760000 297.975 0.00909021 4.84423
764000 298.922 0.00909021 4.96799
768000 300.617 0.00909021 4.97155
772000 299.317 0.00909021 5.0152
776000 300.514 0.00909021 4.88362
780000 299.739 0.00909021 4.99239
784000 300.537 0.00909021 5.08985
788000 299.765 0.00909021 4.82177
792000 299.72 0.00909021 4.91963
796000 300.885 0.00909021 4.96333
800000 298.724 0.00909021 4.9175
804000 298.832 0.00909021 4.79611
808000 299.897 0.00909021 5.16148
812000 300.214 0.00909021 4.89419
816000 301.818 0.00909021 4.86833
820000 298.684 0.00909021 4.81557
824000 301.318 0.00909021 5.04541
828000 300.89 0.00909021 4.96624
832000 302.022 0.00909021 5.06706
836000 299.213 0.00909021 4.91084
840000 300.145 0.00909021 4.94542
844000 298.365 0.00909021 4.85455
848000 299.212 0.00909021 5.00606
852000 301.423 0.00909021 4.94822
856000 300.554 0.00909021 4.9679
860000 298.646 0.00909021 5.04482
864000 300.998 0.00909021 4.97607
868000 301.075 0.00909021 5.0954
872000 300.967 0.00909021 4.90857
876000 299.06 0.00909021 4.97975
880000 301.554 0.00909021 5.01992
884000 297.365 0.00909021 4.95718
888000 301.094 0.00909021 4.91766
892000 301.89 0.00909021 5.10263
896000 297.188 0.00909021 4.99789
900000 300.951 0.00909021 4.93886
904000 300.716 0.00909021 4.99952
908000 299.547 0.00909021 4.92928
912000 300.05 0.00909021 4.93671
916000 298.933 0.00909021 4.95542
920000 299.454 0.00909021 4.94114
924000 300.685 0.00909021 4.913
928000 298.665 0.00909021 4.98554
932000 299.934 0.00909021 4.94759
936000 300.394 0.00909021 5.03579
940000 300.462 0.00909021 4.90878
944000 300.723 0.00909021 4.99186
948000 300.552 0.00909021 4.94889
952000 300.272 0.00909021 5.09374
956000 300.655 0.00909021 4.95806
960000 299.626 0.00909021 4.75678
964000 298.516 0.00909021 4.86708
968000 298.679 0.00909021 4.89614
972000 299.754 0.00909021 5.04006
976000 300.232 0.00909021 5.00406
980000 301.038 0.00909021 5.03368
984000 300.944 0.00909021 5.08486
988000 299.753 0.00909021 4.87103
992000 300.042 0.00909021 4.88759
996000 299.627 0.00909021 4.96809
1000000 300.545 0.00909021 5.00255
1004000 301.087 0.00909021 4.97589
1008000 298.205 0.00909021 4.89356
1012000 300.732 0.00909021 5.01091
1016000 300.337 0.00909021 4.9187
1020000 300.08 0.00909021 5.08942
1024000 299.45 0.00909021 4.89938
1028000 298.082 0.00909021 4.94437
1032000 300.325 0.00909021 4.96485
1036000 302.046 0.00909021 4.98819
1040000 299.451 0.00909021 4.93534
1044000 299.617 0.00909021 4.95626
1048000 301.149 0.00909021 4.98502
1052000 302.235 0.00909021 5.14874
1056000 301.341 0.00909021 5.07005
1060000 298.354 0.00909021 4.85921
1064000 299.497 0.00909021 5.04221
1068000 301.055 0.00909021 5.02282
1072000 302.234 0.00909021 4.97986
1076000 299.414 0.00909021 4.89976
1080000 299.17 0.00909021 5.04578
1084000 300.752 0.00909021 4.92529
1088000 300.079 0.00909021 4.9753
1092000 301.627 0.00909021 5.05202
1096000 300.719 0.00909021 4.91799
1100000 301.198 0.00909021 4.9676
1104000 300.916 0.00909021 5.00086
1108000 301.267 0.00909021 5.08061
1112000 300.037 0.00909021 4.67333
1116000 300.912 0.00909021 4.97286
1120000 300.39 0.00909021 4.92031
1124000 299.005 0.00909021 5.00119
1128000 299.532 0.00909021 4.79647
1132000 299.34 0.00909021 4.91992
1136000 301.14 0.00909021 4.98936
1140000 298.88 0.00909021 5.01928
1144000 299.022 0.00909021 4.91618
1148000 298.465 0.00909021 4.98355
1152000 300.174 0.00909021 5.00856
1156000 301.188 0.00909021 5.01461
1160000 299.847 0.00909021 4.96932
1164000 297.846 0.00909021 4.92929
1168000 299.92 0.00909021 4.87421
1172000 301.731 0.00909021 4.87935
1176000 300.304 0.00909021 4.98773
1180000 300.747 0.00909021 4.98379
1184000 300.488 0.00909021 4.93692
1188000 300.729 0.00909021 4.95707
1192000 298.348 0.00909021 4.99728
1196000 299.541 0.00909021 4.94537
1200000 299.596 0.00909021 5.01652
1204000 300.56 0.00909021 5.05223
1208000 299.716 0.00909021 5.00956
1212000 300.304 0.00909021 4.97979
1216000 301.053 0.00909021 4.9606
1220000 301.215 0.00909021 5.05425
1224000 300.529 0.00909021 5.05323
1228000 300.333 0.00909021 5.01195
1232000 301.026 0.00909021 5.02736
1236000 299.308 0.00909021 4.92845
1240000 301.221 0.00909021 4.96029
1244000 299.934 0.00909021 4.97069
1248000 302.757 0.00909021 5.0821
1252000 301.267 0.00909021 4.94173
1256000 301.471 0.00909021 4.94288
1260000 298.504 0.00909021 4.78261
1264000 300.74 0.00909021 4.95654
1268000 298.873 0.00909021 4.89274
1272000 300.824 0.00909021 4.86867
1276000 300.192 0.00909021 4.94643
1280000 299.106 0.00909021 5.02939
1284000 300.753 0.00909021 4.94955
1288000 300.924 0.00909021 5.02678
1292000 300.056 0.00909021 5.0392
1296000 299.362 0.00909021 4.9901
1300000 299.221 0.00909021 5.01314
1304000 301.36 0.00909021 5.07668
1308000 300.805 0.00909021 5.09652
1312000 299.05 0.00909021 4.83961
1316000 300.429 0.00909021 4.96475
1320000 300.615 0.00909021 5.06191
1324000 300.544 0.00909021 5.005
1328000 300.52 0.00909021 5.0019
1332000 299.248 0.00909021 4.96585
1336000 301.749 0.00909021 5.06715
1340000 299.949 0.00909021 4.98947
1344000 301.09 0.00909021 5.03649
1348000 299.47 0.00909021 4.96808
1352000 302.811 0.00909021 4.99841
1356000 299.846 0.00909021 4.97363
1360000 300.567 0.00909021 5.00178
1364000 300.496 0.00909021 5.00083
1368000 298.136 0.00909021 5.01388
