# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 325.967 0.0240255 13.9655
8000 301.301 0.0240255 13.2647
12000 298.908 0.0240255 12.5292
16000 300.619 0.0240255 12.6437
20000 301.808 0.0240255 12.5262
24000 302.437 0.0240255 12.4136
28000 299.529 0.0240255 12.5732
32000 299.634 0.0240255 12.5297
36000 299.34 0.0240255 12.7495
40000 298.852 0.0240255 12.4506
44000 300.172 0.0240255 12.3417
48000 300.372 0.0240255 12.2742
52000 298.516 0.0240255 12.2924
56000 299.111 0.0240255 11.9881
60000 300.292 0.0240255 11.9022
64000 299.886 0.0240255 12.0222
68000 301.696 0.0240255 12.1551
72000 301.744 0.0240255 12.1319
76000 299.643 0.0240255 12.0956
80000 301.572 0.0240255 12.7259
84000 298.474 0.0240255 12.3172
88000 299.74 0.0240255 12.1281
92000 299.406 0.0240255 12.4943
96000 300.623 0.0240255 12.3322
100000 299.84 0.0240255 12.5064
104000 299.845 0.0240255 11.9616
108000 301.272 0.0240255 12.2071
112000 300.812 0.0240255 12.5938
116000 300.441 0.0240255 12.1734
120000 300.729 0.0240255 12.8428
124000 299.001 0.0240255 11.9512
128000 299.732 0.0240255 13.0529
132000 300.762 0.0240255 12.4767
136000 301.094 0.0240255 12.7574
140000 302.215 0.0240255 12.7414
144000 300.172 0.0240255 12.2386
148000 298.379 0.0240255 12.5058
152000 300.076 0.0240255 12.5773
156000 300.545 0.0240255 12.7803
160000 300.822 0.0240255 12.2025
164000 301.734 0.0240255 11.8836
168000 300.544 0.0240255 12.7482
172000 300.625 0.0240255 12.1302
176000 302.288 0.0240255 12.5437
180000 300.032 0.0240255 12.1094
184000 298.092 0.0240255 12.0397
188000 297.958 0.0240255 12.2959
192000 299.142 0.0240255 12.3646
196000 302.153 0.0240255 12.3166
200000 300.652 0.0240255 12.3972
204000 300.076 0.0240255 13.0345
208000 301.028 0.0240255 12.1605
212000 301.13 0.0240255 12.3826
216000 298.947 0.0240255 12.3938
220000 302.934 0.0240255 12.5396
224000 299.164 0.0240255 12.6164
228000 301.672 0.0240255 12.5765
232000 300.831 0.0240255 12.9963
236000 300.56 0.0240255 12.7626
240000 299.717 0.0240255 12.6145
244000 300.769 0.0240255 12.2869
248000 299.824 0.0240255 12.5855
252000 299.693 0.0240255 12.4832
256000 300.349 0.0240255 12.6404
260000 298.783 0.0240255 12.3542
264000 298.764 0.0240255 12.4002
268000 301.203 0.0240255 12.4521
272000 301.154 0.0240255 12.818
276000 298.771 0.0240255 12.5278
280000 299.339 0.0240255 12.2622
284000 299.313 0.0240255 12.7847
288000 301.521 0.0240255 13.432
292000 300.593 0.0240255 12.0793
296000 300.649 0.0240255 12.1675
300000 299.144 0.0240255 12.6787
304000 298.757 0.0240255 12.5037
308000 300.709 0.0240255 12.7065
312000 300.423 0.0240255 12.5676
316000 299.504 0.0240255 12.3488
320000 297.141 0.0240255 12.442
324000 300.825 0.0240255 12.8808
328000 302.346 0.0240255 12.6326
332000 301.842 0.0240255 12.9025
336000 300.662 0.0240255 12.7889
340000 300.063 0.0240255 13.2521
344000 301.096 0.0240255 12.7767
348000 301.675 0.0240255 12.5312
352000 299.961 0.0240255 12.8079
356000 302.693 0.0240255 12.9009
360000 301.095 0.0240255 12.6344
364000 300.116 0.0240255 12.4752
368000 302.419 0.0240255 12.8492
372000 300.259 0.0240255 12.6555
376000 301.123 0.0240255 12.9512
380000 299.569 0.0240255 12.9279
384000 300.98 0.0240255 12.8664
388000 301.034 0.0240255 12.5394
392000 297.026 0.0240255 12.9015
396000 299.646 0.0240255 12.8819
400000 300.33 0.0240255 13.111
404000 301.392 0.0240255 12.7012
408000 301.039 0.0240255 12.8576
412000 301.192 0.0240255 12.5707
416000 299.689 0.0240255 12.5219
420000 300.919 0.0240255 12.6725
424000 301.691 0.0240255 12.8802
428000 298.529 0.0240255 12.3465
432000 300.782 0.0240255 12.6735
436000 299.963 0.0240255 12.5737
