# file: statistics.dat size:50 shift:50 clmns:0 3 
102000.0000 8163.3337 7.8135 0.0353
302000.0000 8163.3388 7.9116 0.0271
502000.0000 8163.3259 8.1021 0.0216
702000.0000 8163.3832 8.1851 0.0172
902000.0000 8163.3309 8.1936 0.0173
1102000.0000 8163.4003 8.2008 0.0177
1302000.0000 8163.2316 8.2368 0.0197
1502000.0000 8163.3386 8.2271 0.0162
1702000.0000 8163.4132 8.1839 0.0259
1902000.0000 8163.6608 8.2022 0.0166
2102000.0000 8162.8482 8.1861 0.0230
2302000.0000 8163.0308 8.2130 0.0173
2502000.0000 8163.3863 8.2173 0.0216
2702000.0000 8163.5038 8.2345 0.0177
2902000.0000 8163.3833 8.2268 0.0154
3102000.0000 8163.0247 8.2010 0.0180
3302000.0000 8164.0723 8.2177 0.0256
3502000.0000 8162.4156 8.1834 0.0201
3702000.0000 8162.9871 8.2137 0.0188
3902000.0000 8164.1426 8.1946 0.0182
