# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 469.34 0.0151863 7.05901
8000 301.372 0.0151863 8.5776
12000 301.861 0.0151863 8.28038
16000 300.949 0.0151863 8.13566
20000 300.485 0.0151863 8.30421
24000 301.887 0.0151863 8.02683
28000 300.337 0.0151863 7.91302
32000 300.748 0.0151863 8.12679
36000 300.608 0.0151863 8.08866
40000 299.543 0.0151863 7.74902
44000 300.243 0.0151863 7.76408
48000 299.572 0.0151863 7.92533
52000 300.769 0.0151863 8.16369
56000 299.354 0.0151863 7.77515
60000 298.569 0.0151863 7.91059
64000 299.552 0.0151863 7.48945
68000 300.018 0.0151863 7.94831
72000 297.887 0.0151863 7.95508
76000 298.894 0.0151863 7.83465
80000 300.341 0.0151863 7.86955
84000 299.263 0.0151863 7.92938
88000 299.278 0.0151863 7.47265
92000 300.979 0.0151863 7.59962
96000 298.961 0.0151863 7.59958
100000 299.156 0.0151863 7.74433
104000 300.05 0.0151863 7.46206
108000 301.286 0.0151863 7.90629
112000 299.323 0.0151863 7.56495
116000 299.205 0.0151863 7.79944
120000 301.242 0.0151863 7.89071
124000 302.51 0.0151863 7.6557
128000 299.514 0.0151863 7.76896
132000 300.677 0.0151863 7.93261
136000 301.326 0.0151863 7.71073
140000 300.23 0.0151863 7.73913
144000 300.114 0.0151863 7.69238
148000 299.199 0.0151863 7.78916
152000 299.871 0.0151863 7.69154
156000 300.048 0.0151863 7.55362
160000 299.557 0.0151863 7.51779
164000 300.301 0.0151863 7.81161
168000 299.321 0.0151863 7.8281
172000 301.648 0.0151863 7.57554
176000 300.039 0.0151863 7.56027
180000 300.98 0.0151863 7.67119
184000 300.42 0.0151863 7.9269
188000 301.027 0.0151863 7.65931
192000 300.408 0.0151863 7.89561
196000 303.113 0.0151863 7.94438
200000 302.707 0.0151863 7.88553
204000 300.021 0.0151863 7.67827
208000 299.026 0.0151863 7.72001
212000 301.709 0.0151863 7.92363
216000 301.219 0.0151863 7.77762
220000 299.947 0.0151863 7.56551
224000 299.991 0.0151863 8.06822
228000 299.757 0.0151863 7.61921
232000 300.586 0.0151863 7.91374
236000 300.676 0.0151863 7.84516
240000 299.915 0.0151863 7.82352
244000 302.328 0.0151863 7.7053
248000 300.376 0.0151863 7.72479
252000 300.935 0.0151863 7.79419
256000 300.209 0.0151863 7.66545
260000 300.598 0.0151863 7.78077
264000 299.52 0.0151863 7.62576
268000 300.41 0.0151863 7.9954
272000 301.482 0.0151863 7.60773
276000 298.941 0.0151863 7.98863
280000 301.865 0.0151863 7.744
284000 302.97 0.0151863 8.12235
288000 299.523 0.0151863 7.70459
292000 300.389 0.0151863 7.89453
296000 300.037 0.0151863 7.73043
300000 300.244 0.0151863 8.0595
304000 297.849 0.0151863 7.79813
308000 301.723 0.0151863 8.30005
312000 300.096 0.0151863 7.96983
316000 300.343 0.0151863 8.14839
320000 300.022 0.0151863 7.80109
324000 300.186 0.0151863 8.10308
328000 299.043 0.0151863 8.04778
332000 300.304 0.0151863 7.9438
336000 300.145 0.0151863 7.53086
340000 298.473 0.0151863 7.91485
344000 301.608 0.0151863 7.98444
348000 301.6 0.0151863 7.87945
352000 301.067 0.0151863 7.97635
356000 300.381 0.0151863 8.23047
360000 302.134 0.0151863 8.15277
364000 298.867 0.0151863 8.14976
368000 301.098 0.0151863 8.21392
372000 299.188 0.0151863 7.92666
376000 299.984 0.0151863 7.91656
380000 299.331 0.0151863 8.11206
384000 298.947 0.0151863 8.12146
388000 300.44 0.0151863 8.03793
392000 300.396 0.0151863 7.97523
396000 301.152 0.0151863 8.15858
400000 299.062 0.0151863 8.10615
404000 301.156 0.0151863 8.00973
408000 300.42 0.0151863 8.17234
412000 300.76 0.0151863 8.08559
416000 299.623 0.0151863 7.97889
420000 301.572 0.0151863 8.17812
424000 299.757 0.0151863 7.74969
428000 298.981 0.0151863 7.91875
432000 301.459 0.0151863 7.95802
436000 300.992 0.0151863 7.78679
440000 300.694 0.0151863 8.3107
444000 300.655 0.0151863 8.0032
448000 300.176 0.0151863 8.08035
452000 301.543 0.0151863 7.88712
456000 299.202 0.0151863 8.14728
460000 301.076 0.0151863 8.36701
464000 299.811 0.0151863 7.68105
468000 300.967 0.0151863 8.10084
472000 300.312 0.0151863 8.17326
476000 301.878 0.0151863 7.96607
480000 301.497 0.0151863 8.18005
484000 299.475 0.0151863 8.20558
488000 301.056 0.0151863 8.13563
492000 298.302 0.0151863 8.04667
496000 300.468 0.0151863 8.11654
500000 300.125 0.0151863 8.11735
504000 299.689 0.0151863 7.99272
508000 301.324 0.0151863 8.03829
512000 301.663 0.0151863 8.03717
516000 301.902 0.0151863 8.22183
520000 300.439 0.0151863 8.11695
524000 301.783 0.0151863 8.09296
528000 302.113 0.0151863 7.97077
532000 301.394 0.0151863 8.05429
536000 300.234 0.0151863 8.24866
540000 301.711 0.0151863 8.42029
544000 299.876 0.0151863 8.08317
548000 300.709 0.0151863 8.08551
552000 301.132 0.0151863 8.31734
556000 301.031 0.0151863 8.14855
560000 299.972 0.0151863 7.98014
564000 301.65 0.0151863 8.19698
568000 299.95 0.0151863 8.13792
572000 300.697 0.0151863 8.16359
576000 298.333 0.0151863 8.13044
580000 300.154 0.0151863 8.08915
584000 299.094 0.0151863 8.20147
588000 298.842 0.0151863 8.10694
592000 301.648 0.0151863 8.25639
596000 301.381 0.0151863 8.15037
600000 300.014 0.0151863 8.50709
604000 303.44 0.0151863 8.29417
608000 299.697 0.0151863 8.06897
612000 303.86 0.0151863 8.25763
616000 301.94 0.0151863 8.30208
620000 300.265 0.0151863 7.99445
624000 300.422 0.0151863 8.23591
628000 301.124 0.0151863 8.33444
632000 301.617 0.0151863 8.00989
636000 299.804 0.0151863 8.11255
640000 302.5 0.0151863 8.2975
644000 300.963 0.0151863 8.22145
648000 302.112 0.0151863 8.2728
652000 299.462 0.0151863 7.96273
656000 300.636 0.0151863 8.26713
660000 300.372 0.0151863 8.14892
664000 300.762 0.0151863 8.31469
668000 299.791 0.0151863 8.04502
672000 298.266 0.0151863 7.99433
676000 301.205 0.0151863 8.20694
680000 300.937 0.0151863 8.15358
684000 299.367 0.0151863 8.32531
688000 299.987 0.0151863 8.09
692000 300.343 0.0151863 8.08089
696000 300.048 0.0151863 8.34309
700000 302.058 0.0151863 8.17129
704000 300.565 0.0151863 8.03379
708000 300.89 0.0151863 8.20974
712000 299.567 0.0151863 8.26974
716000 300.07 0.0151863 8.07647
720000 299.86 0.0151863 8.32595
724000 298.826 0.0151863 7.95733
728000 298.562 0.0151863 7.99569
732000 299.892 0.0151863 7.90326
736000 300.951 0.0151863 8.30217
