# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 538.175 0.0426182 34.515
8000 300.998 0.0426182 21.7258
12000 300.525 0.0426182 22.5488
16000 300.617 0.0426182 20.8639
20000 300.652 0.0426182 21.2996
24000 298.555 0.0426182 20.5513
28000 301.201 0.0426182 20.5598
32000 299.335 0.0426182 20.6016
36000 299.683 0.0426182 20.6302
40000 298.949 0.0426182 19.7607
44000 299.941 0.0426182 20.2392
48000 300.186 0.0426182 19.3166
52000 298.909 0.0426182 20.0962
56000 301.232 0.0426182 20.1267
60000 300.082 0.0426182 19.4776
64000 298.474 0.0426182 18.4843
68000 301.084 0.0426182 18.4468
72000 299.713 0.0426182 19.7882
76000 298.417 0.0426182 19.9467
80000 299.117 0.0426182 18.5398
84000 301.156 0.0426182 19.7786
88000 299.962 0.0426182 19.9339
92000 300.224 0.0426182 19.2499
96000 299.649 0.0426182 19.3206
100000 301.06 0.0426182 19.09
104000 301.11 0.0426182 19.4134
108000 300.945 0.0426182 19.8196
112000 303.457 0.0426182 18.8756
116000 300.824 0.0426182 19.2818
120000 299.686 0.0426182 19.39
124000 299.844 0.0426182 19.3535
128000 302.398 0.0426182 19.6644
132000 300.662 0.0426182 21.2218
136000 301.038 0.0426182 19.2304
140000 299.467 0.0426182 19.5982
144000 300.467 0.0426182 20.1779
148000 300.252 0.0426182 19.1971
152000 301.415 0.0426182 20.3771
156000 301.43 0.0426182 19.9566
160000 299.299 0.0426182 19.8824
164000 300.833 0.0426182 20.715
168000 301.369 0.0426182 20.5551
172000 300.758 0.0426182 20.5774
176000 300.311 0.0426182 20.7981
180000 299.57 0.0426182 21.4463
184000 297.925 0.0426182 21.1505
188000 298.387 0.0426182 20.6218
192000 298.29 0.0426182 21.0678
196000 299.469 0.0426182 21.3058
200000 300.031 0.0426182 20.7977
204000 300.418 0.0426182 21.7253
208000 299.742 0.0426182 20.2537
212000 301.988 0.0426182 21.198
216000 301.634 0.0426182 20.9769
220000 301.891 0.0426182 21.8107
224000 301.101 0.0426182 20.5089
228000 298.119 0.0426182 20.5224
232000 300.712 0.0426182 20.92
236000 299.577 0.0426182 21.2608
240000 302.048 0.0426182 22.3239
244000 299.423 0.0426182 21.0793
248000 300.362 0.0426182 21.9535
252000 300.028 0.0426182 21.4269
256000 298.121 0.0426182 21.722
260000 298.749 0.0426182 22.4122
264000 301.033 0.0426182 22.0013
268000 300.054 0.0426182 21.6339
272000 299.403 0.0426182 21.1027
276000 300.481 0.0426182 21.7475
280000 298.854 0.0426182 21.397
284000 301.109 0.0426182 21.8791
288000 300.859 0.0426182 22.6703
292000 302.071 0.0426182 21.4769
296000 299.908 0.0426182 22.55
300000 299.908 0.0426182 21.4818
304000 302.244 0.0426182 21.238
308000 299.361 0.0426182 21.5874
312000 301.881 0.0426182 21.4846
316000 302.539 0.0426182 20.8389
320000 302.572 0.0426182 20.4659
324000 300.813 0.0426182 21.7726
328000 301.427 0.0426182 21.4192
332000 299.471 0.0426182 21.968
336000 300.326 0.0426182 21.6875
340000 302.174 0.0426182 21.546
344000 301.652 0.0426182 21.5225
348000 298.285 0.0426182 21.3926
352000 300.016 0.0426182 22.1437
356000 300.718 0.0426182 21.5238
360000 299.303 0.0426182 21.6914
364000 300.123 0.0426182 21.8952
368000 300.149 0.0426182 22.0351
372000 301.8 0.0426182 20.6582
376000 301.886 0.0426182 21.793
380000 299.327 0.0426182 20.8993
384000 301.836 0.0426182 21.7916
388000 301.702 0.0426182 21.4177
392000 301.354 0.0426182 21.9984
396000 299.782 0.0426182 22.2192
400000 300.785 0.0426182 20.7637
404000 299.672 0.0426182 21.1493
408000 301.267 0.0426182 22.0552
412000 300.807 0.0426182 21.8657
416000 301.431 0.0426182 21.8605
420000 301.279 0.0426182 21.4289
424000 301.19 0.0426182 22.3053
428000 301.083 0.0426182 21.2143
432000 298.236 0.0426182 21.6527
436000 298.459 0.0426182 21.3778
440000 301.044 0.0426182 22.5204
444000 301.589 0.0426182 21.9848
448000 299.075 0.0426182 21.4279
452000 299.108 0.0426182 21.1682
456000 299.259 0.0426182 21.3832
460000 299.861 0.0426182 21.4456
464000 300.679 0.0426182 21.9415
468000 297.802 0.0426182 20.3396
472000 300.895 0.0426182 21.3877
476000 301.933 0.0426182 21.5856
480000 299.296 0.0426182 22.1241
484000 300.769 0.0426182 20.9866
488000 298.436 0.0426182 21.8923
492000 301.213 0.0426182 22.411
496000 297.869 0.0426182 21.7804
500000 302.486 0.0426182 21.9064
504000 301.329 0.0426182 21.5392
508000 298.002 0.0426182 21.6643
512000 301.901 0.0426182 22.5471
516000 300.555 0.0426182 21.2949
520000 300.825 0.0426182 21.6785
524000 299.196 0.0426182 21.6264
528000 301.144 0.0426182 21.8774
532000 300.173 0.0426182 21.3958
536000 300.472 0.0426182 21.3515
540000 299.548 0.0426182 21.5727
544000 301.18 0.0426182 21.3352
548000 300.374 0.0426182 21.6781
552000 300.651 0.0426182 21.6697
556000 299.358 0.0426182 21.6956
560000 299.771 0.0426182 21.6054
