LAMMPS data file via write_data, version 4 Jul 2026, timestep = 1000000, units = real

1032 atoms
5 atom types
688 bonds
3 bond types
344 angles
2 angle types

0 30 xlo xhi
0 30 ylo yhi
0 30 zlo zhi

Masses

1 15.035
2 12.0107
3 14.0067
4 12.0107
5 15.9994

Atoms # full

179 60 2 0.129 6.745268194086953 6.808522524197427 3.549187108154609 0 0 0
379 127 1 0.269 0.6240584137225708 5.6458990842170556 4.39395932424165 0 1 0
259 87 1 0.269 4.25151268923116 2.6168239644247304 3.3345977215247187 0 1 -1
180 60 3 -0.398 6.560713064253409 5.668468010200449 3.4794439424208665 0 0 0
260 87 2 0.129 5.1178878801134315 1.389186508710732 2.997106527638571 0 1 -1
590 197 2 0.129 2.5300785550473077 5.817079640203219 1.6971350175964353 0 0 1
324 108 3 -0.398 1.753108616562877 6.951047575787149 7.012945007026541 0 0 0
589 197 1 0.269 1.8838332098295127 4.958938970049023 0.5937033051588949 0 0 1
742 248 1 0.269 0.5248020800056792 1.2823653251183864 6.5354978849364365 0 1 1
519 173 3 -0.398 6.581422724959492 1.7271365215457368 6.368431009844945 0 1 1
518 173 2 0.129 6.569512424573466 2.874356416109972 6.518076117555811 0 1 1
517 173 1 0.269 6.553659475053599 4.401338816826408 6.7172580241026765 0 1 1
380 127 2 0.129 0.7087738923043964 4.148045632341679 4.046312485634863 0 1 0
381 127 3 -0.398 0.7724205213428199 3.0227102792119322 3.785125867278986 0 1 0
261 87 3 -0.398 5.7687944358606975 0.4668640825671624 2.7435498319721625 0 1 -1
591 197 3 -0.398 3.0156018436297654 6.4617996112216645 2.5261418301225658 0 0 1
486 162 3 -0.398 5.276204096223236 7.342479449757055 7.294145797248165 0 0 1
789 263 3 -0.398 1.6375486943494313 2.0141206613082967 0.3233476769614881 0 0 0
524 175 2 0.129 9.292479607933588 6.923157808639895 6.234625002550478 0 0 1
525 175 3 -0.398 9.134632542142816 6.261748474853055 5.298531525914256 0 0 1
430 144 1 0.269 9.157270413005218 3.649014678933244 3.8250350611493404 0 0 0
431 144 2 0.129 9.570664385848254 3.158967661505561 5.225234812587154 0 0 0
748 250 1 0.269 12.68768347282284 4.961296256457916 6.792341470481655 0 0 1
432 144 3 -0.398 9.881246740769937 2.790795973736839 6.277203067401147 0 0 0
1029 343 5 -0.35 12.944243346258153 4.582950193840718 1.2838477040094387 -1 2 1
1027 343 4 0.7 12.507589175966393 3.535886423365588 1.5259026484455396 -1 2 1
1028 343 5 -0.35 12.07093500567464 2.488822652890465 1.767957592881644 -1 2 1
749 250 2 0.129 12.638976506270435 4.345548012809141 5.381638903725042 0 0 1
316 106 1 0.269 11.281347238280697 7.210497889969659 2.4453590664492095 0 0 0
750 250 3 -0.398 12.602383025555417 3.8829371570288624 4.321779897402052 0 0 1
946 316 1 0.269 14.80639256414101 1.0246819570098213 7.384506894451205 0 1 1
889 297 1 0.269 8.233698573698526 5.161915380166871 0.5229784859998177 0 0 1
966 322 5 -0.35 8.690241052351732 0.19659667449728924 4.480036431859074 0 1 0
265 89 1 0.269 12.237611755592544 0.7116257013920961 4.358847420132425 0 0 0
842 281 2 0.129 8.099193054398738 0.8833417251970278 0.43935050520578733 0 0 1
241 81 1 0.269 15.503080693821184 4.107679521956017 3.1934780573183184 0 1 0
42 14 3 -0.398 18.691515604493365 3.619212903293409 2.770347427768066 0 1 1
219 73 3 -0.398 21.24203800104597 1.5937118725750878 3.5404784681830437 0 1 0
218 73 2 0.129 20.304509701907737 1.565098654070576 4.21787862469443 0 1 0
242 81 2 0.129 15.603255141151854 2.6048176753302057 3.5143695499714673 0 1 0
243 81 3 -0.398 15.678516073334698 1.4757195217288661 3.755454911659583 0 1 0
799 267 1 0.269 19.02417664411964 5.302269310151243 6.1245161495134655 0 1 1
217 73 1 0.269 19.05663279553532 1.5270136441337168 5.119517553845281 0 1 0
948 316 3 -0.398 16.741343208566157 2.771356744355807 6.6924793004280385 0 1 1
947 316 2 0.129 15.911258708899899 2.022041679854765 6.98935580257294 0 1 1
800 267 2 0.129 18.77800225927889 6.645203482414757 6.836924726955877 0 1 1
40 14 1 0.269 20.800914144182666 4.916736994157146 1.7023221310691212 0 1 1
41 14 2 0.129 19.596437410359336 4.17584448398653 2.3121697235483105 0 1 1
81 27 3 -0.398 22.167429116691117 5.609767119805179 4.8079589000825145 -1 0 0
690 230 3 -0.398 17.196228238050686 7.46291808829172 3.0755371466932004 0 0 1
133 45 1 0.269 19.725387849540528 1.01923941723405 0.5532680669561887 0 0 1
688 230 1 0.269 15.610925390970616 7.337216058348889 5.2537985824972635 0 0 1
689 230 2 0.129 16.516140958083447 7.4089925233514675 4.010000803061498 0 0 1
1017 339 5 -0.35 18.205960245089102 6.761078625433167 0.5926299712059879 0 1 1
387 129 3 -0.398 29.001020684428703 6.853631696317165 1.463860963467372 0 1 0
637 213 1 0.269 27.96792636981249 3.730429842453691 1.5115747303701454 1 1 1
740 247 2 0.129 28.612164758653332 3.8457051028563467 7.442649490650872 0 1 0
739 247 1 0.269 27.31328077780041 3.5699156979997193 6.662623460026005 0 1 0
301 101 1 0.269 23.85501360597413 0.23568500816489973 1.9026084588067294 0 0 0
302 101 2 0.129 25.11660757886434 0.6713099675681388 2.6708607235695427 0 0 0
79 27 1 0.269 23.462529390519904 3.5497850871854455 5.971143453800519 -1 0 0
80 27 2 0.129 22.723020891559454 4.7260447572760595 5.306959466879598 -1 0 0
303 101 3 -0.398 26.06444149226303 0.9985944338210927 3.2480476523556394 0 0 0
764 255 2 0.129 26.11217221313695 6.457593897723195 2.787374938008545 0 0 1
763 255 1 0.269 25.47169776322272 6.65712709524757 1.401164642962886 0 0 1
743 248 2 0.129 29.331592772106674 0.3210441951555122 6.689488899712272 -1 1 1
765 255 3 -0.398 26.593359835572514 6.307684865557145 3.8288329324032415 0 0 1
638 213 2 0.129 27.118465221893175 2.6386176676497732 0.8348458828063566 1 1 1
639 213 3 -0.398 26.480266164657692 1.81834059865748 0.32642037850031425 1 1 1
178 60 1 0.269 6.990916335784156 8.325967599007575 3.642017250963569 0 0 0
323 108 2 0.129 2.309291643144257 7.8804430381959225 6.606086904741314 0 0 0
322 108 1 0.269 3.0495871149984706 9.117494906916328 6.064547166176704 0 0 0
16 6 1 0.269 5.352855231468776 14.043549591275927 4.496707869029436 1 1 0
17 6 2 0.129 5.443633419508782 12.819335583164582 3.5668372420477565 1 1 0
18 6 3 -0.398 5.511834954289488 11.899585188758852 2.868226647620616 1 1 0
293 98 2 0.129 1.7827298977002881 10.383117457803177 2.463337768672956 1 1 0
292 98 1 0.269 3.2143001313680655 10.11281274960763 1.964196475245578 1 1 0
294 98 3 -0.398 0.7071930403278004 10.586197034025421 2.8383419741894977 1 1 0
312 104 3 -0.398 2.225842247149079 14.478792088062686 2.280236157094275 1 0 0
22 8 1 0.269 6.610274715738347 10.45500640972691 0.08572441237989559 0 0 0
94 32 1 0.269 0.5164535831709283 13.067723012904722 4.64744469572088 0 0 0
95 32 2 0.129 0.6689648946419802 12.050994474649306 5.794006241984198 0 0 0
96 32 3 -0.398 0.7835464448835462 11.287127644284684 6.655416442650855 0 0 0
780 260 3 -0.398 4.605241022975788 14.212237879836024 7.497255084091362 1 0 1
527 176 2 0.129 12.888208217222559 14.553856253365879 4.409013179639707 0 0 1
317 106 2 0.129 10.4217332060634 8.133794485764824 1.5620770549674445 0 0 0
521 174 2 0.129 8.406353647491157 14.777899891712142 2.0486462692776315 0 0 1
520 174 1 0.269 9.715015883954038 14.007248915573427 1.7934988142001236 0 0 1
193 65 1 0.269 9.314413127484972 12.741941607642321 5.331604725172934 0 0 0
318 106 3 -0.398 9.775906300040406 8.827466019099244 0.8984684268606977 0 0 0
523 175 1 0.269 9.502578554621378 7.803512496653494 7.480592119248652 0 0 1
194 65 2 0.129 9.689047834595138 11.260232959497525 5.142426718411379 0 0 0
195 65 3 -0.398 9.97051040350842 10.147027176443288 5.000297527617145 0 0 0
201 67 3 -0.398 12.793605413082632 8.598041789375845 6.529627209527871 0 1 0
658 220 1 0.269 13.071710482699853 10.499309374187524 3.682778513317082 0 0 0
659 220 2 0.129 12.653552704994459 11.414066681430866 2.5166039372828832 0 0 0
660 220 3 -0.398 12.339391309666441 12.101322658366282 1.6404584928208248 0 0 0
