# Time-averaged data for fix mydat
# TimeStep v_mtmp v_mden v_mpre
4000 344.304 0.0274529 16.0198
8000 301.012 0.0274529 14.8943
12000 300.503 0.0274529 14.1198
16000 301.137 0.0274529 13.9137
20000 301.481 0.0274529 13.9439
24000 302.692 0.0274529 14.1813
28000 302.519 0.0274529 13.7242
32000 298.887 0.0274529 13.3145
36000 302.339 0.0274529 13.9464
40000 299.466 0.0274529 13.726
44000 300.642 0.0274529 13.7684
48000 300.777 0.0274529 13.3286
52000 301.103 0.0274529 13.1674
56000 300.161 0.0274529 13.3685
60000 300.836 0.0274529 13.4498
64000 300.851 0.0274529 13.7442
68000 300.549 0.0274529 13.6411
72000 301.224 0.0274529 13.5365
76000 301.776 0.0274529 13.4483
80000 299.095 0.0274529 13.4831
84000 301.441 0.0274529 13.8836
88000 300.647 0.0274529 13.8406
92000 300.52 0.0274529 14.2001
96000 300.138 0.0274529 13.9265
100000 297.745 0.0274529 13.1864
104000 300.234 0.0274529 13.6926
108000 298.498 0.0274529 13.7178
112000 298.91 0.0274529 13.7957
116000 301.66 0.0274529 13.907
120000 300.515 0.0274529 13.2943
124000 301.218 0.0274529 14.3561
128000 300.364 0.0274529 13.9947
132000 299.44 0.0274529 13.8801
136000 300.966 0.0274529 14.156
140000 301.706 0.0274529 13.4002
144000 300.988 0.0274529 13.9922
148000 302.651 0.0274529 14.2021
152000 299.749 0.0274529 14.229
156000 299.984 0.0274529 13.9734
160000 302.666 0.0274529 14.2053
164000 298.208 0.0274529 13.7114
168000 301.227 0.0274529 14.6968
172000 300.928 0.0274529 14.0858
176000 299.785 0.0274529 14.3982
180000 300.243 0.0274529 13.8896
184000 299.647 0.0274529 14.1987
188000 300.261 0.0274529 14.0344
192000 299.475 0.0274529 14.0051
196000 299.61 0.0274529 14.2589
200000 300.646 0.0274529 13.9607
204000 300.757 0.0274529 13.9183
208000 300.668 0.0274529 14.4165
212000 301.199 0.0274529 14.7435
216000 301.927 0.0274529 14.2281
220000 302.043 0.0274529 14.5725
224000 302.879 0.0274529 14.1742
228000 299.446 0.0274529 14.1564
232000 298.872 0.0274529 14.5239
236000 301.404 0.0274529 14.0068
240000 300.073 0.0274529 13.6107
244000 299.247 0.0274529 14.0456
248000 300.768 0.0274529 13.9371
252000 301.138 0.0274529 14.6723
256000 299.157 0.0274529 14.2007
260000 300.251 0.0274529 14.6722
264000 301.356 0.0274529 14.2167
268000 298.835 0.0274529 14.2364
272000 299.555 0.0274529 14.5532
276000 300.193 0.0274529 14.8734
280000 299.75 0.0274529 14.2024
284000 299.595 0.0274529 14.4058
288000 299.077 0.0274529 14.1139
292000 300.574 0.0274529 14.1967
296000 299.522 0.0274529 14.7666
300000 300.597 0.0274529 14.5186
304000 301.937 0.0274529 14.504
308000 300.165 0.0274529 14.7149
312000 299.401 0.0274529 14.465
316000 299.802 0.0274529 14.48
320000 302.58 0.0274529 14.1839
324000 299.308 0.0274529 14.3776
328000 302.347 0.0274529 14.366
332000 300.623 0.0274529 14.1307
336000 301.198 0.0274529 14.3202
340000 298.233 0.0274529 14.1968
344000 298.245 0.0274529 14.4178
348000 300.155 0.0274529 14.3853
352000 299.592 0.0274529 14.7454
356000 298.63 0.0274529 14.3781
360000 298.811 0.0274529 14.3291
364000 300.9 0.0274529 14.2941
368000 300.687 0.0274529 14.5353
372000 300.968 0.0274529 14.3972
376000 300.847 0.0274529 14.2067
380000 299.48 0.0274529 14.3742
384000 301.334 0.0274529 14.4896
388000 300.722 0.0274529 14.2265
392000 300.362 0.0274529 14.1549
396000 298.582 0.0274529 13.7519
400000 301.584 0.0274529 14.3875
404000 300.349 0.0274529 14.0743
408000 300.301 0.0274529 14.1166
412000 300.981 0.0274529 14.4158
416000 299.86 0.0274529 14.1999
420000 300.819 0.0274529 14.5141
424000 299.91 0.0274529 14.3086
428000 299.897 0.0274529 14.3082
432000 301.338 0.0274529 14.1077
436000 298.869 0.0274529 15.242
440000 302.066 0.0274529 13.8276
444000 298.54 0.0274529 14.7486
448000 300.631 0.0274529 14.5442
452000 301.188 0.0274529 14.7856
456000 299.915 0.0274529 14.1401
460000 299.878 0.0274529 14.4427
464000 299.798 0.0274529 14.2911
468000 301.446 0.0274529 14.6641
472000 300.302 0.0274529 14.4037
476000 301.968 0.0274529 14.711
480000 300.08 0.0274529 14.4532
484000 299.7 0.0274529 14.2096
488000 300.26 0.0274529 14.5886
492000 299.767 0.0274529 14.3709
496000 303.562 0.0274529 14.4003
500000 300.514 0.0274529 14.6702
504000 299.423 0.0274529 14.3547
508000 301.514 0.0274529 14.6919
512000 301.305 0.0274529 14.7464
516000 300.461 0.0274529 14.6909
520000 300.465 0.0274529 14.4595
524000 300.008 0.0274529 14.1404
528000 299.235 0.0274529 14.6782
532000 300.314 0.0274529 14.7023
536000 300.648 0.0274529 14.3965
540000 300.787 0.0274529 14.8591
544000 299.97 0.0274529 14.8305
548000 299.076 0.0274529 13.8543
552000 300.891 0.0274529 14.4897
556000 299.987 0.0274529 14.0336
560000 299.096 0.0274529 14.4738
564000 299.934 0.0274529 14.4326
568000 299.66 0.0274529 14.4014
572000 299.791 0.0274529 14.2818
576000 301.096 0.0274529 14.8364
580000 300.536 0.0274529 14.1048
584000 299.619 0.0274529 14.5166
588000 300.452 0.0274529 14.5825
592000 301.43 0.0274529 14.4815
596000 301.516 0.0274529 14.4768
600000 301.558 0.0274529 13.9216
604000 299.249 0.0274529 14.1945
608000 301.306 0.0274529 14.5619
612000 300.947 0.0274529 14.4328
616000 300.763 0.0274529 13.9565
620000 301.224 0.0274529 14.3481
624000 299.946 0.0274529 14.2467
628000 299.643 0.0274529 13.8568
632000 300.478 0.0274529 13.5785
636000 300.236 0.0274529 14.2647
640000 300.984 0.0274529 14.5891
644000 299.083 0.0274529 14.1347
648000 302.256 0.0274529 14.5315
652000 299.035 0.0274529 14.2715
656000 299.65 0.0274529 14.132
660000 299.202 0.0274529 14.4256
664000 300.78 0.0274529 13.9242
668000 300.593 0.0274529 14.656
672000 299.844 0.0274529 13.8894
676000 301.259 0.0274529 14.5126
680000 300.825 0.0274529 14.3014
684000 300.621 0.0274529 13.7963
688000 299.679 0.0274529 14.2783
692000 299.811 0.0274529 14.5015
696000 299.467 0.0274529 14.6182
700000 298.913 0.0274529 14.7318
704000 299.273 0.0274529 14.5243
708000 297.772 0.0274529 14.1938
712000 300.85 0.0274529 14.5658
716000 299.208 0.0274529 14.4919
720000 298.233 0.0274529 13.8849
724000 300.542 0.0274529 14.3184
728000 299.938 0.0274529 14.2876
732000 299.515 0.0274529 14.696
736000 299.947 0.0274529 14.1493
740000 299.252 0.0274529 14.7074
744000 301.198 0.0274529 14.6762
748000 300.011 0.0274529 14.2342
752000 300.977 0.0274529 14.1861
756000 301.781 0.0274529 14.1835
760000 299.332 0.0274529 14.1528
764000 300.178 0.0274529 14.4854
768000 300.08 0.0274529 14.3075
772000 301.311 0.0274529 14.4645
776000 300.128 0.0274529 14.0918
780000 299.353 0.0274529 14.2948
784000 300.783 0.0274529 14.3145
788000 299.811 0.0274529 14.1539
792000 300.305 0.0274529 14.4976
796000 300.76 0.0274529 14.3858
800000 297.866 0.0274529 14.3752
804000 301.804 0.0274529 14.6075
808000 300.428 0.0274529 13.8568
812000 304.114 0.0274529 14.5665
816000 300.099 0.0274529 13.9042
820000 299.857 0.0274529 13.5735
824000 299.559 0.0274529 14.2842
828000 300.702 0.0274529 14.7362
832000 299.769 0.0274529 14.7499
836000 299.593 0.0274529 14.0758
840000 298.249 0.0274529 14.207
844000 300.781 0.0274529 14.5192
848000 301.535 0.0274529 14.6432
852000 300.45 0.0274529 14.9218
856000 301.488 0.0274529 14.2849
860000 298.162 0.0274529 14.5089
864000 300.018 0.0274529 14.5192
868000 299.694 0.0274529 14.4276
872000 299.985 0.0274529 14.2746
876000 300.108 0.0274529 14.5814
880000 300.695 0.0274529 14.337
884000 300.374 0.0274529 14.3702
888000 300.321 0.0274529 14.3736
892000 299.376 0.0274529 14.441
896000 299.422 0.0274529 14.7335
900000 301.765 0.0274529 14.2884
904000 303.444 0.0274529 14.7036
908000 301.135 0.0274529 13.9998
912000 302.346 0.0274529 14.3426
916000 299.813 0.0274529 14.1867
920000 301.182 0.0274529 14.2336
924000 299.64 0.0274529 14.5621
928000 300.574 0.0274529 14.5081
932000 301.015 0.0274529 14.2454
936000 301.888 0.0274529 14.4316
940000 299.39 0.0274529 14.6556
944000 300.852 0.0274529 14.1595
948000 300.765 0.0274529 14.3976
952000 299.358 0.0274529 14.0488
956000 302.771 0.0274529 14.6342
960000 301.346 0.0274529 14.7195
964000 299.883 0.0274529 14.2557
968000 301.921 0.0274529 14.2442
972000 300.723 0.0274529 14.3859
976000 299.979 0.0274529 14.737
980000 298.658 0.0274529 14.4275
984000 299.46 0.0274529 14.6482
988000 298.035 0.0274529 14.4382
992000 301.276 0.0274529 14.3167
996000 298.902 0.0274529 14.8037
1000000 300.236 0.0274529 14.2892
1004000 299.375 0.0274529 14.0851
1008000 302.151 0.0274529 14.2069
1012000 300.984 0.0274529 14.4921
1016000 299.337 0.0274529 14.3538
1020000 300.676 0.0274529 14.3415
1024000 301.372 0.0274529 14.6041
1028000 301.216 0.0274529 14.4171
1032000 299.485 0.0274529 14.4041
1036000 300.305 0.0274529 14.7873
1040000 300.889 0.0274529 14.3455
1044000 301.88 0.0274529 14.3918
1048000 300.381 0.0274529 13.9897
1052000 300.521 0.0274529 14.6083
1056000 298.944 0.0274529 14.2244
1060000 300.719 0.0274529 14.2439
1064000 301.286 0.0274529 14.4408
1068000 301.688 0.0274529 14.4182
1072000 300.553 0.0274529 14.423
1076000 299.98 0.0274529 14.5586
1080000 301.662 0.0274529 14.3009
1084000 299.881 0.0274529 14.4596
1088000 300.78 0.0274529 14.2518
1092000 301.661 0.0274529 14.6074
1096000 300.008 0.0274529 14.2153
1100000 301.257 0.0274529 14.5012
1104000 301.048 0.0274529 14.0956
1108000 299.931 0.0274529 14.6051
1112000 300.129 0.0274529 14.5246
1116000 299.74 0.0274529 14.3128
1120000 299.558 0.0274529 14.2297
1124000 299.92 0.0274529 14.1368
1128000 300.231 0.0274529 14.8012
1132000 300.733 0.0274529 14.7807
1136000 298.899 0.0274529 14.5866
1140000 298.598 0.0274529 14.1409
1144000 298.502 0.0274529 13.8895
1148000 301.961 0.0274529 13.8938
1152000 299.626 0.0274529 14.3744
1156000 301.434 0.0274529 14.5246
1160000 299.935 0.0274529 14.5447
1164000 302.113 0.0274529 14.1256
1168000 301.793 0.0274529 14.2408
1172000 301.531 0.0274529 14.432
1176000 300.54 0.0274529 14.242
1180000 302.1 0.0274529 14.1174
1184000 299.999 0.0274529 14.7458
1188000 299.336 0.0274529 14.4977
1192000 299.56 0.0274529 14.7203
1196000 300.813 0.0274529 14.4511
1200000 298.734 0.0274529 14.4308
1204000 300.242 0.0274529 14.5406
1208000 300.046 0.0274529 14.0404
1212000 300.719 0.0274529 14.4901
1216000 299.796 0.0274529 14.471
1220000 300.701 0.0274529 14.4111
1224000 298.951 0.0274529 14.2528
1228000 300.547 0.0274529 14.4933
1232000 301.798 0.0274529 14.2629
1236000 302.159 0.0274529 14.1854
1240000 300.247 0.0274529 14.2585
1244000 300.128 0.0274529 14.6138
1248000 299.986 0.0274529 14.5906
1252000 301.917 0.0274529 14.9821
1256000 300.004 0.0274529 14.6964
1260000 298.564 0.0274529 14.4
1264000 302.576 0.0274529 15.1303
1268000 301.018 0.0274529 14.3373
1272000 300.976 0.0274529 14.3102
1276000 300.805 0.0274529 14.3779
1280000 300.104 0.0274529 14.5396
1284000 300.328 0.0274529 14.6757
1288000 300.431 0.0274529 14.4126
1292000 301.585 0.0274529 14.5203
1296000 301.461 0.0274529 14.3364
1300000 302.45 0.0274529 14.7386
1304000 301.322 0.0274529 14.8674
1308000 300.467 0.0274529 14.7918
1312000 300.037 0.0274529 14.3812
1316000 300.065 0.0274529 14.347
1320000 301.486 0.0274529 14.2418
1324000 301.973 0.0274529 14.7257
1328000 302.385 0.0274529 14.6193
1332000 299.058 0.0274529 14.513
1336000 298.53 0.0274529 14.291
1340000 301.784 0.0274529 14.3161
1344000 299.282 0.0274529 14.3316
1348000 301.566 0.0274529 14.5498
1352000 301.388 0.0274529 13.9498
1356000 299.195 0.0274529 14.4134
1360000 299.412 0.0274529 14.4472
1364000 300.69 0.0274529 14.4312
1368000 301.538 0.0274529 14.4743
1372000 299.345 0.0274529 13.9447
1376000 300.457 0.0274529 14.1058
1380000 300.132 0.0274529 14.4474
1384000 300.45 0.0274529 14.8345
1388000 301.522 0.0274529 14.4138
1392000 301.642 0.0274529 14.528
1396000 301.9 0.0274529 14.8809
1400000 301.637 0.0274529 14.0574
1404000 300.925 0.0274529 14.7799
1408000 299.632 0.0274529 14.4058
1412000 299.614 0.0274529 14.5715
1416000 300.054 0.0274529 14.2379
1420000 300.026 0.0274529 13.8667
1424000 300.916 0.0274529 14.4629
1428000 300.389 0.0274529 14.4224
1432000 299.319 0.0274529 14.2738
1436000 298.75 0.0274529 14.1743
